resolution,repeat_id,warmup,precision,recall,map50,map50_95,preprocess_ms_img,inference_ms_img,postprocess_ms_img,total_ms_img,wall_time_s,peak_allocated_mib,peak_reserved_mib,split,batch,workers,conf,iou,max_det,half
960,25,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.564653604017461,6.705445094411474,1.6608902107120729,9.930988909141007,4.880428700009361,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
960,26,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.9716771191679965,5.511428112334578,1.6442209199143976,9.127326151416971,5.042168699903414,70.15869140625,100.0,val,2,0,0.001,0.7,1000,True
960,27,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.632775825271809,5.474221571561655,1.6249555613529059,8.731952958186369,4.879519499838352,70.15869140625,100.0,val,2,0,0.001,0.7,1000,True
960,28,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.521335943644635,5.345673201410891,1.5987437918441358,8.465752936899662,4.837865700013936,70.15869140625,100.0,val,2,0,0.001,0.7,1000,True
960,29,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.6967392103515224,5.5760699354745205,1.6571012982989057,8.92991044412495,5.061377200065181,70.15869140625,100.0,val,2,0,0.001,0.7,1000,True
960,30,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.4909444516829027,5.439092157092067,1.626011102880333,8.556047711655303,4.814629700034857,70.15869140625,100.0,val,2,0,0.001,0.7,1000,True
960,31,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.5017594776901544,5.424988879122181,1.6327568716400003,8.559505228452336,4.534780099987984,70.15869140625,100.0,val,2,0,0.001,0.7,1000,True
960,32,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.3373914932576463,5.53063007856847,1.6365830080425428,8.50460457986866,4.714952899841592,70.15869140625,100.0,val,2,0,0.001,0.7,1000,True
960,33,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.3389418333817542,5.4539039113187515,1.640034641680959,8.432880386381465,4.456723000155762,70.15869140625,100.0,val,2,0,0.001,0.7,1000,True
960,34,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.6142450960876504,5.417960122215495,1.6615202641297206,8.693725482432866,4.577244200045243,70.15869140625,100.0,val,2,0,0.001,0.7,1000,True
960,35,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.4845673116593578,5.373145750376816,1.5898169980086143,8.447530060044787,4.508741199970245,70.15869140625,100.0,val,2,0,0.001,0.7,1000,True
1280,1,True,0.9532930321552383,0.9573188326293145,0.9854523104214478,0.7824133969896157,1.2399366070680757,25.344822230121864,1.5190758215860019,28.103834658775938,9.711176300188527,97.35693359375,142.0,val,2,0,0.001,0.7,1000,True
1280,2,True,0.9532930321552383,0.9573188326293145,0.9854523104214478,0.7824133969896157,1.1565745077735068,6.05444705229423,1.425145102628306,8.636166662696043,5.0472377999685705,97.35693359375,142.0,val,2,0,0.001,0.7,1000,True
1280,3,True,0.9532930321552383,0.9573188326293145,0.9854523104214478,0.7824133969896157,1.0945673246740126,6.911733982098453,1.6359921630009329,9.6422934697734,5.340221399907023,97.35693359375,142.0,val,2,0,0.001,0.7,1000,True
1280,4,True,0.9532930321552383,0.9573188326293145,0.9854523104214478,0.7824133969896157,1.1285627428198757,6.205819611090655,1.4822947765317034,8.816677130442233,4.843864999944344,97.35693359375,142.0,val,2,0,0.001,0.7,1000,True
1280,5,True,0.9532930321552383,0.9573188326293145,0.9854523104214478,0.7824133969896157,1.042616988830512,5.998032024507624,1.4810078561281652,8.521656869466302,4.844356099842116,97.35693359375,142.0,val,2,0,0.001,0.7,1000,True
1280,6,False,0.9532930321552383,0.9573188326293145,0.9854523104214478,0.7824133969896157,1.077575822135592,6.656203927240925,1.5705026202269043,9.30428236960342,5.309599299915135,97.35693359375,142.0,val,2,0,0.001,0.7,1000,True
1280,7,False,0.9532930321552383,0.9573188326293145,0.9854523104214478,0.7824133969896157,1.113469280253828,6.365050324330143,1.4878411829057667,8.966360787489737,4.778832900105044,97.35693359375,142.0,val,2,0,0.001,0.7,1000,True
1280,8,False,0.9532930321552383,0.9573188326293145,0.9854523104214478,0.7824133969896157,0.958953602117748,5.8023196103331305,1.4046352886247868,8.165908501075664,4.699108900036663,97.35693359375,142.0,val,2,0,0.001,0.7,1000,True
1280,9,False,0.9532930321552383,0.9573188326293145,0.9854523104214478,0.7824133969896157,1.1498176483620033,6.175888884885639,1.5154326778952203,8.841139211142861,5.007111500017345,97.35693359375,142.0,val,2,0,0.001,0.7,1000,True
1280,10,False,0.9532930321552383,0.9573188326293145,0.9854523104214478,0.7824133969896157,1.0545986911488905,6.206151627588506,1.4943692747966135,8.75511959353401,4.842160500120372,97.35693359375,142.0,val,2,0,0.001,0.7,1000,True
1280,11,False,0.9532930321552383,0.9573188326293145,0.9854523104214478,0.7824133969896157,1.0701183037941948,6.193828765984649,1.5176418267823513,8.781588896561196,4.942363100126386,97.35693359375,142.0,val,2,0,0.001,0.7,1000,True
1280,12,False,0.9532930321552383,0.9573188326293145,0.9854523104214478,0.7824133969896157,1.1269843077981005,6.522811759031968,1.5017777830484063,9.151573849878474,5.143058900022879,97.35693359375,142.0,val,2,0,0.001,0.7,1000,True
1280,13,False,0.9532930321552383,0.9573188326293145,0.9854523104214478,0.7824133969896157,1.1771934645652187,6.759857515396635,1.531161439416358,9.468212419378212,5.0475020001176745,97.35693359375,142.0,val,2,0,0.001,0.7,1000,True
1280,14,False,0.9532930321552383,0.9573188326293145,0.9854523104214478,0.7824133969896157,1.1412019619194707,6.688540522922196,1.543702610944903,9.37344509578657,5.095794199965894,97.35693359375,142.0,val,2,0,0.001,0.7,1000,True
1280,15,False,0.9532930321552383,0.9573188326293145,0.9854523104214478,0.7824133969896157,1.203424839022892,6.855408499759982,1.517509802676786,9.57634314145966,5.11613929993473,97.35693359375,142.0,val,2,0,0.001,0.7,1000,True
